UoM_Wireless1,UoM_Wireless6,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11
-73,-100,-100,-73,-100,-100,-41,-82,-100
-71,-89,-100,-71,-100,-100,-64,-100,-100
-67,-100,-100,-70,-100,-100,-65,-100,-100
-69,-90,-100,-70,-91,-100,-100,-87,-100
-75,-90,-100,-73,-93,-100,-70,-85,-100
-73,-92,-100,-73,-91,-100,-100,-100,-100
-75,-88,-100,-73,-89,-100,-48,-100,-100
-73,-92,-100,-74,-100,-100,-100,-85,-100
-75,-88,-100,-73,-87,-100,-63,-88,-100
-75,-92,-100,-75,-91,-100,-69,-89,-100
-100,-87,-100,-81,-84,-100,-62,-85,-100
-71,-90,-100,-71,-90,-100,-100,-84,-100
-74,-88,-100,-74,-92,-100,-100,-84,-100
-74,-91,-100,-76,-87,-100,-56,-100,-100
-71,-87,-100,-73,-91,-100,-64,-87,-100
-76,-88,-100,-75,-87,-100,-73,-100,-100
-74,-90,-100,-73,-90,-100,-39,-100,-100
-72,-89,-100,-72,-89,-100,-66,-100,-100
-74,-91,-100,-73,-90,-100,-64,-100,-100
-72,-90,-100,-73,-91,-100,-63,-100,-100
-72,-100,-100,-71,-100,-100,-62,-84,-100
-73,-89,-100,-74,-91,-100,-65,-83,-100
-72,-88,-100,-72,-90,-100,-49,-100,-100
-71,-91,-100,-71,-92,-100,-42,-100,-100
-73,-93,-100,-73,-92,-100,-71,-100,-100
-73,-91,-100,-73,-91,-100,-100,-100,-100
-73,-93,-100,-75,-98,-100,-51,-100,-100
-73,-91,-100,-74,-89,-100,-61,-100,-100
-77,-91,-100,-77,-89,-100,-43,-100,-100
-77,-95,-100,-76,-92,-100,-100,-87,-100
-78,-93,-100,-77,-90,-100,-66,-90,-100
-75,-93,-100,-76,-100,-100,-63,-83,-100
-74,-95,-100,-73,-91,-100,-100,-100,-100
-75,-100,-100,-73,-100,-100,-61,-85,-100
-73,-93,-100,-74,-100,-100,-100,-100,-100
