UoM_Wireless1,UoM_Wireless6,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
-80.0,-100.0,-100.0,-80.0,-100.0,-100.0,-70.0,-68.0,-100.0,4.0
-72.0,-87.0,-100.0,-100.0,-89.0,-100.0,-62.0,-86.0,-100.0,6.0
-100.0,-73.0,-70.0,-100.0,-73.0,-73.0,-88.0,-100.0,-100.0,5.0
-100.0,-55.0,-100.0,-87.0,-53.0,-100.0,-83.0,-67.0,-100.0,1.0
-100.0,-92.0,-87.0,-100.0,-100.0,-88.0,-74.0,-100.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-78.0,-82.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,7.0
-73.0,-90.0,-100.0,-100.0,-90.0,-100.0,-50.0,-92.0,-100.0,6.0
-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-68.0,-71.0,-100.0,4.0
-100.0,-72.0,-75.0,-100.0,-69.0,-74.0,-86.0,-100.0,-100.0,5.0
-100.0,-56.0,-100.0,-89.0,-54.0,-100.0,-86.0,-65.0,-100.0,1.0
-100.0,-85.0,-84.0,-100.0,-100.0,-86.0,-87.0,-93.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-80.0,-84.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,7.0
-71.0,-88.0,-100.0,-70.0,-87.0,-100.0,-58.0,-100.0,-100.0,6.0
-100.0,-72.0,-76.0,-100.0,-71.0,-74.0,-100.0,-100.0,-100.0,5.0
-100.0,-89.0,-100.0,-100.0,-85.0,-100.0,-71.0,-66.0,-100.0,4.0
-87.0,-56.0,-89.0,-100.0,-55.0,-89.0,-77.0,-73.0,-100.0,1.0
-100.0,-82.0,-83.0,-100.0,-100.0,-86.0,-73.0,-89.0,-100.0,2.0
-100.0,-78.0,-82.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-68.0,-89.0,-100.0,-100.0,-87.0,-100.0,-48.0,-88.0,-100.0,6.0
-100.0,-73.0,-75.0,-100.0,-72.0,-74.0,-100.0,-100.0,-100.0,5.0
-100.0,-60.0,-92.0,-90.0,-61.0,-93.0,-87.0,-69.0,-100.0,1.0
-100.0,-84.0,-85.0,-100.0,-83.0,-85.0,-77.0,-100.0,-100.0,2.0
-81.0,-85.0,-100.0,-83.0,-100.0,-100.0,-68.0,-100.0,-100.0,4.0
-100.0,-78.0,-82.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-68.0,-93.0,-100.0,-100.0,-90.0,-100.0,-58.0,-84.0,-100.0,6.0
-100.0,-72.0,-74.0,-100.0,-100.0,-73.0,-90.0,-100.0,-100.0,5.0
-88.0,-61.0,-92.0,-100.0,-59.0,-91.0,-86.0,-65.0,-100.0,1.0
-88.0,-81.0,-83.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,7.0
-100.0,-89.0,-86.0,-100.0,-100.0,-88.0,-75.0,-92.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-71.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,4.0
-100.0,-79.0,-70.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-57.0,-88.0,-100.0,-57.0,-89.0,-100.0,-67.0,-100.0,1.0
-93.0,-84.0,-83.0,-100.0,-82.0,-80.0,-100.0,-100.0,-100.0,7.0
-100.0,-84.0,-84.0,-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-69.0,-93.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,4.0
-84.0,-64.0,-100.0,-100.0,-64.0,-100.0,-100.0,-67.0,-100.0,1.0
-100.0,-86.0,-89.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,2.0
-88.0,-81.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7.0
-69.0,-92.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-74.0,-70.0,-100.0,-74.0,-74.0,-88.0,-100.0,-100.0,5.0
-86.0,-63.0,-100.0,-89.0,-61.0,-91.0,-88.0,-72.0,-100.0,1.0
-100.0,-84.0,-81.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,7.0
-77.0,-100.0,-100.0,-73.0,-100.0,-100.0,-77.0,-58.0,-100.0,4.0
-100.0,-87.0,-85.0,-100.0,-100.0,-100.0,-78.0,-90.0,-100.0,2.0
-68.0,-100.0,-100.0,-67.0,-89.0,-100.0,-50.0,-100.0,-100.0,6.0
-100.0,-100.0,-70.0,-100.0,-100.0,-74.0,-88.0,-100.0,-100.0,5.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-63.0,-92.0,-100.0,-63.0,-100.0,-86.0,-68.0,-100.0,1.0
-100.0,-77.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,7.0
-100.0,-86.0,-86.0,-100.0,-100.0,-88.0,-74.0,-89.0,-100.0,2.0
-82.0,-89.0,-100.0,-100.0,-100.0,-100.0,-73.0,-62.0,-100.0,4.0
-68.0,-89.0,-100.0,-69.0,-88.0,-100.0,-60.0,-100.0,-100.0,6.0
-100.0,-73.0,-71.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,5.0
-81.0,-59.0,-100.0,-100.0,-60.0,-100.0,-100.0,-74.0,-100.0,1.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-77.0,-80.0,-93.0,-68.0,-100.0,-100.0,-100.0,-100.0,7.0
-100.0,-100.0,-81.0,-100.0,-92.0,-84.0,-100.0,-100.0,-100.0,2.0
-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-74.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-80.0,-92.0,-100.0,-82.0,-100.0,-100.0,-100.0,-64.0,-100.0,4.0
-85.0,-64.0,-100.0,-82.0,-60.0,-100.0,-100.0,-70.0,-100.0,1.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-92.0,-77.0,-83.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,7.0
-100.0,-88.0,-90.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,2.0
-68.0,-92.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-67.0,-73.0,-100.0,-67.0,-72.0,-100.0,-100.0,-100.0,5.0
-100.0,-66.0,-100.0,-100.0,-64.0,-100.0,-100.0,-78.0,-100.0,1.0
-83.0,-91.0,-100.0,-85.0,-100.0,-100.0,-100.0,-65.0,-100.0,4.0
-90.0,-79.0,-87.0,-100.0,-66.0,-80.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-81.0,-85.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,2.0
-69.0,-91.0,-100.0,-68.0,-90.0,-100.0,-50.0,-100.0,-100.0,6.0
-100.0,-74.0,-71.0,-100.0,-72.0,-100.0,-86.0,-100.0,-100.0,5.0
-87.0,-63.0,-100.0,-86.0,-66.0,-100.0,-85.0,-71.0,-100.0,1.0
-89.0,-76.0,-83.0,-100.0,-66.0,-84.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,4.0
-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
-69.0,-90.0,-100.0,-68.0,-89.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-75.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-87.0,-55.0,-100.0,-100.0,-56.0,-100.0,-100.0,-62.0,-100.0,1.0
-92.0,-76.0,-81.0,-92.0,-77.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-83.0,-87.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,2.0
-100.0,-87.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,4.0
-100.0,-70.0,-71.0,-100.0,-67.0,-77.0,-100.0,-100.0,-100.0,5.0
-83.0,-63.0,-88.0,-100.0,-64.0,-90.0,-100.0,-70.0,-100.0,1.0
-92.0,-78.0,-83.0,-100.0,-78.0,-83.0,-100.0,-100.0,-100.0,7.0
-100.0,-83.0,-89.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-67.0,-93.0,-100.0,-67.0,-87.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-68.0,-76.0,-100.0,-65.0,-75.0,-100.0,-100.0,-100.0,5.0
-79.0,-92.0,-100.0,-100.0,-100.0,-100.0,-76.0,-66.0,-100.0,4.0
-84.0,-58.0,-89.0,-100.0,-59.0,-86.0,-83.0,-65.0,-100.0,1.0
-100.0,-79.0,-84.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,7.0
-100.0,-83.0,-84.0,-100.0,-83.0,-87.0,-72.0,-100.0,-100.0,2.0
-68.0,-88.0,-100.0,-67.0,-100.0,-100.0,-48.0,-100.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-71.0,-75.0,-100.0,-70.0,-75.0,-83.0,-100.0,-100.0,5.0
-79.0,-58.0,-100.0,-77.0,-59.0,-100.0,-90.0,-66.0,-100.0,1.0
-79.0,-93.0,-100.0,-100.0,-100.0,-100.0,-76.0,-67.0,-100.0,4.0
-100.0,-78.0,-82.0,-100.0,-69.0,-83.0,-100.0,-100.0,-100.0,7.0
-67.0,-89.0,-100.0,-65.0,-90.0,-100.0,-61.0,-100.0,-100.0,6.0
-100.0,-84.0,-86.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-73.0,-76.0,-100.0,-73.0,-77.0,-100.0,-100.0,-100.0,5.0
-100.0,-58.0,-100.0,-100.0,-60.0,-100.0,-100.0,-72.0,-100.0,1.0
-89.0,-78.0,-100.0,-100.0,-77.0,-84.0,-100.0,-100.0,-100.0,7.0
-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-100.0,-81.0,-88.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,2.0
-67.0,-90.0,-100.0,-65.0,-92.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-73.0,-81.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,5.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-64.0,-100.0,-88.0,-62.0,-100.0,-100.0,-72.0,-100.0,1.0
-91.0,-77.0,-82.0,-100.0,-76.0,-81.0,-100.0,-100.0,-100.0,7.0
-68.0,-88.0,-100.0,-68.0,-88.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,2.0
-100.0,-71.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,5.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-63.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,1.0
-90.0,-77.0,-85.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,7.0
-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,4.0
-81.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-85.0,-92.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,2.0
-100.0,-69.0,-77.0,-100.0,-69.0,-76.0,-100.0,-100.0,-100.0,5.0
-100.0,-61.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,1.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-89.0,-75.0,-86.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,7.0
-81.0,-100.0,-100.0,-84.0,-100.0,-100.0,-74.0,-100.0,-100.0,4.0
-65.0,-87.0,-100.0,-65.0,-91.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-72.0,-77.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,5.0
-100.0,-100.0,-90.0,-100.0,-91.0,-89.0,-100.0,-88.0,-100.0,2.0
-100.0,-59.0,-100.0,-100.0,-57.0,-100.0,-100.0,-69.0,-100.0,1.0
-90.0,-79.0,-92.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-89.0,-91.0,-100.0,-100.0,-90.0,-100.0,-100.0,-62.0,-100.0,4.0
-72.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-69.0,-80.0,-100.0,-68.0,-83.0,-100.0,-100.0,-100.0,5.0
-100.0,-100.0,-89.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,2.0
-100.0,-62.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,1.0
-92.0,-80.0,-86.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-73.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-93.0,-82.0,-88.0,-100.0,-100.0,-80.0,-100.0,-94.0,-100.0,2.0
-82.0,-91.0,-100.0,-82.0,-100.0,-100.0,-100.0,-63.0,-100.0,4.0
-100.0,-70.0,-80.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,5.0
-81.0,-65.0,-100.0,-100.0,-64.0,-100.0,-100.0,-68.0,-100.0,1.0
-93.0,-77.0,-82.0,-100.0,-72.0,-84.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-80.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-91.0,-84.0,-85.0,-100.0,-100.0,-86.0,-100.0,-85.0,-100.0,2.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,4.0
-100.0,-63.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-78.0,-84.0,-100.0,-71.0,-83.0,-100.0,-100.0,-100.0,7.0
-67.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-72.0,-82.0,-100.0,-69.0,-84.0,-100.0,-100.0,-100.0,5.0
-100.0,-77.0,-81.0,-100.0,-100.0,-86.0,-100.0,-87.0,-100.0,2.0
-87.0,-61.0,-100.0,-100.0,-60.0,-100.0,-100.0,-73.0,-100.0,1.0
-89.0,-77.0,-82.0,-100.0,-70.0,-83.0,-100.0,-100.0,-100.0,7.0
-74.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-83.0,-100.0,6.0
-100.0,-69.0,-78.0,-100.0,-69.0,-76.0,-100.0,-100.0,-100.0,5.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-76.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,4.0
-100.0,-81.0,-80.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,2.0
-100.0,-56.0,-100.0,-84.0,-57.0,-100.0,-85.0,-65.0,-100.0,1.0
-100.0,-79.0,-84.0,-100.0,-79.0,-84.0,-100.0,-100.0,-100.0,7.0
-75.0,-100.0,-100.0,-70.0,-100.0,-100.0,-48.0,-87.0,-100.0,6.0
-100.0,-73.0,-76.0,-100.0,-73.0,-78.0,-100.0,-100.0,-100.0,5.0
-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-65.0,-100.0,4.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-65.0,-100.0,-100.0,-65.0,-100.0,-88.0,-65.0,-100.0,1.0
-89.0,-85.0,-80.0,-87.0,-100.0,-79.0,-88.0,-89.0,-100.0,2.0
-100.0,-75.0,-84.0,-100.0,-69.0,-82.0,-100.0,-100.0,-100.0,7.0
-73.0,-100.0,-100.0,-76.0,-100.0,-100.0,-61.0,-100.0,-100.0,6.0
-100.0,-75.0,-77.0,-100.0,-76.0,-74.0,-100.0,-100.0,-100.0,5.0
-78.0,-100.0,-100.0,-78.0,-100.0,-100.0,-82.0,-67.0,-100.0,4.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-100.0,-87.0,-100.0,-100.0,-81.0,-75.0,-100.0,-100.0,2.0
-100.0,-63.0,-100.0,-100.0,-64.0,-100.0,-78.0,-66.0,-100.0,1.0
-100.0,-77.0,-100.0,-100.0,-72.0,-86.0,-100.0,-100.0,-100.0,7.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,6.0
-100.0,-76.0,-78.0,-100.0,-73.0,-75.0,-100.0,-100.0,-100.0,5.0
-83.0,-59.0,-100.0,-100.0,-58.0,-100.0,-80.0,-68.0,-100.0,1.0
-87.0,-100.0,-87.0,-100.0,-100.0,-85.0,-77.0,-100.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-65.0,-100.0,4.0
-92.0,-75.0,-86.0,-100.0,-72.0,-83.0,-100.0,-100.0,-100.0,7.0
-74.0,-100.0,-100.0,-70.0,-100.0,-100.0,-58.0,-100.0,-100.0,6.0
-100.0,-77.0,-80.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-56.0,-100.0,-100.0,-56.0,-100.0,-88.0,-65.0,-100.0,1.0
-89.0,-79.0,-84.0,-76.0,-83.0,-74.0,-87.0,-92.0,-100.0,2.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-90.0,-77.0,-84.0,-100.0,-75.0,-84.0,-100.0,-100.0,-100.0,7.0
-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-79.0,-65.0,-100.0,4.0
-68.0,-100.0,-100.0,-70.0,-100.0,-100.0,-59.0,-91.0,-100.0,6.0
-100.0,-73.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-62.0,-100.0,-80.0,-60.0,-100.0,-84.0,-65.0,-100.0,1.0
-86.0,-85.0,-92.0,-100.0,-100.0,-84.0,-84.0,-87.0,-100.0,2.0
-90.0,-75.0,-85.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-67.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-77.0,-75.0,-100.0,-76.0,-72.0,-100.0,-100.0,-100.0,5.0
-85.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,4.0
-100.0,-58.0,-100.0,-87.0,-58.0,-100.0,-100.0,-71.0,-100.0,1.0
-100.0,-100.0,-85.0,-100.0,-100.0,-85.0,-100.0,-92.0,-100.0,2.0
-92.0,-77.0,-83.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-65.0,-75.0,-100.0,-64.0,-81.0,-100.0,-100.0,-100.0,5.0
-90.0,-62.0,-100.0,-92.0,-64.0,-100.0,-100.0,-68.0,-100.0,1.0
-83.0,-88.0,-100.0,-100.0,-88.0,-100.0,-100.0,-64.0,-100.0,4.0
-100.0,-100.0,-84.0,-100.0,-100.0,-82.0,-100.0,-92.0,-100.0,2.0
-100.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7.0
-70.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-69.0,-73.0,-100.0,-69.0,-74.0,-100.0,-100.0,-100.0,5.0
-100.0,-62.0,-100.0,-100.0,-60.0,-100.0,-86.0,-68.0,-100.0,1.0
-100.0,-91.0,-86.0,-100.0,-79.0,-90.0,-92.0,-100.0,-100.0,2.0
-90.0,-76.0,-82.0,-100.0,-74.0,-83.0,-100.0,-100.0,-100.0,7.0
-86.0,-91.0,-100.0,-80.0,-100.0,-100.0,-83.0,-64.0,-100.0,4.0
-65.0,-100.0,-100.0,-67.0,-100.0,-100.0,-63.0,-100.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-62.0,-71.0,-100.0,-62.0,-74.0,-100.0,-100.0,-100.0,5.0
-87.0,-60.0,-100.0,-100.0,-59.0,-100.0,-88.0,-74.0,-100.0,1.0
-91.0,-77.0,-81.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,7.0
-100.0,-74.0,-83.0,-100.0,-91.0,-87.0,-80.0,-88.0,-100.0,2.0
-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-64.0,-100.0,4.0
-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,6.0
-100.0,-69.0,-81.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,5.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-60.0,-100.0,-100.0,-59.0,-100.0,-87.0,-69.0,-100.0,1.0
-91.0,-77.0,-83.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,7.0
-91.0,-91.0,-85.0,-100.0,-84.0,-84.0,-100.0,-89.0,-100.0,2.0
-82.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-66.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,5.0
-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,4.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-89.0,-55.0,-91.0,-100.0,-54.0,-100.0,-100.0,-73.0,-100.0,1.0
-92.0,-79.0,-84.0,-100.0,-77.0,-74.0,-100.0,-100.0,-100.0,7.0
-86.0,-79.0,-87.0,-100.0,-100.0,-86.0,-100.0,-88.0,-100.0,2.0
-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,6.0
-100.0,-68.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-87.0,-59.0,-100.0,-86.0,-58.0,-100.0,-100.0,-65.0,-100.0,1.0
-94.0,-78.0,-82.0,-100.0,-70.0,-81.0,-100.0,-100.0,-100.0,7.0
-90.0,-82.0,-82.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,2.0
-64.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-73.0,-79.0,-100.0,-74.0,-82.0,-100.0,-100.0,-100.0,5.0
-90.0,-62.0,-100.0,-90.0,-63.0,-100.0,-88.0,-68.0,-100.0,1.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-76.0,-82.0,-93.0,-77.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-100.0,-83.0,-83.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,2.0
-100.0,-72.0,-81.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,5.0
-100.0,-57.0,-100.0,-100.0,-59.0,-100.0,-100.0,-61.0,-100.0,1.0
-92.0,-76.0,-84.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-76.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-88.0,-100.0,-83.0,-100.0,-100.0,-82.0,-100.0,-91.0,-100.0,2.0
-100.0,-76.0,-78.0,-100.0,-74.0,-80.0,-100.0,-100.0,-100.0,5.0
-100.0,-61.0,-100.0,-87.0,-61.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-78.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,7.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-90.0,-100.0,-83.0,-92.0,-83.0,-77.0,-100.0,-100.0,-100.0,2.0
-70.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,6.0
-100.0,-67.0,-81.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,5.0
-100.0,-60.0,-90.0,-100.0,-59.0,-88.0,-86.0,-68.0,-100.0,1.0
-91.0,-77.0,-80.0,-100.0,-69.0,-81.0,-100.0,-100.0,-100.0,7.0
-72.0,-100.0,-100.0,-72.0,-100.0,-100.0,-57.0,-81.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-89.0,-87.0,-89.0,-100.0,-100.0,-89.0,-85.0,-100.0,-100.0,2.0
-100.0,-64.0,-76.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,5.0
-83.0,-60.0,-100.0,-100.0,-62.0,-100.0,-100.0,-67.0,-100.0,1.0
-93.0,-79.0,-82.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,7.0
-68.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-80.0,-100.0,6.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,3
-100.0,-83.0,-84.0,-88.0,-84.0,-87.0,-100.0,-100.0,-100.0,2.0
-100.0,-68.0,-80.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,5.0
-100.0,-59.0,-92.0,-100.0,-58.0,-90.0,-100.0,-63.0,-100.0,1.0
