UoM_Wireless1,UoM_Wireless6,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,janith7,id
-100.0,-69.0,-100.0,-100.0,-70.0,-100.0,-84.0,-69.0,-100.0,-100.0,1.0
-87.0,-72.0,-100.0,-85.0,-69.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1
-100.0,-76.0,-100.0,-100.0,-74.0,-100.0,-86.0,-70.0,-100.0,-100.0,1.0
-100.0,-71.0,-100.0,-100.0,-69.0,-100.0,-85.0,-69.0,-100.0,-100.0,1.0
-100.0,-72.0,-100.0,-100.0,-72.0,-100.0,-87.0,-70.0,-100.0,-100.0,1.0
-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-68.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-86.0,-70.0,-100.0,-100.0,-69.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-100.0,-68.0,-100.0,-91.0,-100.0,-100.0,-82.0,-70.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-82.0,-69.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-69.0,-100.0,-87.0,-69.0,-100.0,-100.0,1.0
-100.0,-71.0,-100.0,-100.0,-71.0,-100.0,-81.0,-68.0,-100.0,-100.0,1.0
-100.0,-71.0,-100.0,-100.0,-69.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-68.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-88.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-88.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-100.0,-73.0,-100.0,-100.0,-71.0,-100.0,-85.0,-68.0,-100.0,-100.0,1.0
-85.0,-72.0,-100.0,-100.0,-100.0,-100.0,-86.0,-70.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-89.0,-67.0,-100.0,-100.0,1.0
-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-68.0,-100.0,-83.0,-100.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-85.0,-69.0,-100.0,-100.0,1.0
-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-82.0,-68.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-70.0,-100.0,-84.0,-69.0,-100.0,-100.0,1.0
-100.0,-68.0,-100.0,-100.0,-67.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-67.0,-100.0,-86.0,-68.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-66.0,-100.0,-85.0,-69.0,-100.0,-100.0,1.0
-100.0,-72.0,-100.0,-100.0,-73.0,-100.0,-83.0,-69.0,-100.0,-100.0,1.0
-100.0,-74.0,-100.0,-100.0,-72.0,-100.0,-85.0,-71.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-69.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-72.0,-100.0,-89.0,-68.0,-100.0,-100.0,1.0
-86.0,-69.0,-100.0,-100.0,-100.0,-100.0,-90.0,-69.0,-100.0,-100.0,1.0
-90.0,-100.0,-100.0,-88.0,-100.0,-100.0,-83.0,-67.0,-100.0,-100.0,1.0
-85.0,-64.0,-100.0,-100.0,-100.0,-100.0,-80.0,-64.0,-100.0,-100.0,1.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-69.0,-100.0,-100.0,1.0
-89.0,-69.0,-100.0,-100.0,-100.0,-100.0,-84.0,-67.0,-100.0,-100.0,1.0
-86.0,-71.0,-100.0,-100.0,-100.0,-100.0,-82.0,-69.0,-100.0,-100.0,1.0
-85.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-60.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-87.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-88.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-66.0,-100.0,-100.0,-65.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-64.0,-100.0,-87.0,-70.0,-100.0,-100.0,1.0
-100.0,-68.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-88.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,1.0
-84.0,-68.0,-100.0,-100.0,-67.0,-100.0,-83.0,-69.0,-100.0,-100.0,1.0
-83.0,-68.0,-100.0,-100.0,-67.0,-100.0,-90.0,-71.0,-100.0,-100.0,1.0
-88.0,-67.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-67.0,-100.0,-84.0,-100.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-67.0,-100.0,-85.0,-69.0,-100.0,-100.0,1.0
-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-85.0,-67.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-69.0,-100.0,-83.0,-71.0,-100.0,-100.0,1.0
-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-71.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-87.0,-71.0,-100.0,-100.0,-70.0,-100.0,-90.0,-100.0,-100.0,-100.0,1.0
-85.0,-70.0,-100.0,-100.0,-70.0,-100.0,-89.0,-70.0,-100.0,-100.0,1.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,1.0
-100.0,-72.0,-100.0,-100.0,-71.0,-100.0,-88.0,-100.0,-100.0,-100.0,1.0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-84.0,-69.0,-100.0,-100.0,1.0
-87.0,-68.0,-100.0,-100.0,-68.0,-100.0,-80.0,-71.0,-100.0,-100.0,1.0
-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-85.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-86.0,-65.0,-100.0,-100.0,-64.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-63.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-85.0,-67.0,-91.0,-100.0,-66.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-63.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-86.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,1.0
-87.0,-62.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,1.0
-78.0,-63.0,-100.0,-87.0,-64.0,-100.0,-100.0,-73.0,-100.0,-100.0,1.0
-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-89.0,-63.0,-100.0,-100.0,-62.0,-100.0,-77.0,-72.0,-100.0,-100.0,1.0
-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-78.0,-71.0,-100.0,-100.0,1.0
-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-84.0,-71.0,-100.0,-100.0,1.0
-87.0,-62.0,-100.0,-100.0,-100.0,-100.0,-76.0,-71.0,-100.0,-100.0,1.0
-84.0,-63.0,-100.0,-100.0,-100.0,-100.0,-83.0,-70.0,-100.0,-100.0,1.0
-86.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-88.0,-62.0,-100.0,-86.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-88.0,-63.0,-100.0,-78.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-89.0,-66.0,-100.0,-87.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,1.0
-100.0,-63.0,-100.0,-87.0,-64.0,-100.0,-88.0,-100.0,-100.0,-100.0,1.0
-85.0,-62.0,-100.0,-100.0,-64.0,-100.0,-69.0,-68.0,-100.0,-100.0,1.0
-84.0,-67.0,-100.0,-84.0,-67.0,-100.0,-78.0,-72.0,-100.0,-100.0,1.0
-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-84.0,-67.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-82.0,-67.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-66.0,-100.0,-100.0,-65.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-82.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-86.0,-65.0,-100.0,-83.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-75.0,-76.0,-100.0,-100.0,1.0
-85.0,-68.0,-100.0,-100.0,-70.0,-100.0,-85.0,-71.0,-100.0,-100.0,1.0
-84.0,-67.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,1.0
-86.0,-62.0,-91.0,-100.0,-62.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-84.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-83.0,-63.0,-100.0,-100.0,-63.0,-100.0,-100.0,-74.0,-100.0,-100.0,1.0
-87.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-84.0,-65.0,-100.0,-100.0,-64.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-85.0,-64.0,-100.0,-100.0,-64.0,-100.0,-79.0,-69.0,-100.0,-100.0,1.0
-87.0,-64.0,-100.0,-85.0,-64.0,-100.0,-77.0,-68.0,-100.0,-100.0,1.0
-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-84.0,-70.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-84.0,-100.0,-100.0,-100.0,-71.0,-88.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-69.0,-100.0,-100.0,-69.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-70.0,-88.0,-100.0,-70.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-82.0,-69.0,-100.0,-100.0,-69.0,-100.0,-87.0,-69.0,-100.0,-100.0,1.0
-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,1.0
-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-77.0,-70.0,-100.0,-100.0,1.0
-86.0,-62.0,-93.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-88.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-86.0,-63.0,-100.0,-100.0,-62.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-64.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-84.0,-62.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-87.0,-63.0,-90.0,-100.0,-62.0,-100.0,-87.0,-69.0,-100.0,-100.0,1.0
-85.0,-62.0,-100.0,-100.0,-64.0,-100.0,-77.0,-69.0,-100.0,-100.0,1.0
-87.0,-64.0,-100.0,-100.0,-100.0,-100.0,-76.0,-69.0,-100.0,-100.0,1.0
-87.0,-63.0,-100.0,-86.0,-100.0,-100.0,-75.0,-70.0,-100.0,-100.0,1.0
-100.0,-63.0,-100.0,-100.0,-62.0,-100.0,-74.0,-70.0,-100.0,-100.0,1.0
-85.0,-65.0,-100.0,-100.0,-63.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-85.0,-63.0,-100.0,-100.0,-62.0,-100.0,-85.0,-69.0,-100.0,-100.0,1.0
-84.0,-62.0,-100.0,-84.0,-63.0,-100.0,-75.0,-100.0,-100.0,-100.0,1.0
-86.0,-63.0,-100.0,-86.0,-63.0,-100.0,-78.0,-69.0,-100.0,-100.0,1.0
-82.0,-63.0,-100.0,-100.0,-100.0,-100.0,-76.0,-67.0,-100.0,-100.0,1.0
-100.0,-62.0,-100.0,-83.0,-100.0,-100.0,-82.0,-71.0,-100.0,-100.0,1.0
-83.0,-65.0,-100.0,-100.0,-63.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-84.0,-66.0,-100.0,-84.0,-64.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-83.0,-64.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-83.0,-64.0,-100.0,-84.0,-63.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-85.0,-63.0,-100.0,-100.0,-65.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-82.0,-66.0,-100.0,-100.0,-64.0,-100.0,-88.0,-69.0,-100.0,-100.0,1.0
-81.0,-61.0,-100.0,-100.0,-61.0,-100.0,-76.0,-71.0,-100.0,-100.0,1.0
-86.0,-65.0,-100.0,-84.0,-64.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-83.0,-67.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-84.0,-66.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-66.0,-100.0,-100.0,-65.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-83.0,-66.0,-100.0,-84.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-81.0,-61.0,-100.0,-73.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,1.0
-82.0,-63.0,-100.0,-100.0,-100.0,-100.0,-81.0,-71.0,-100.0,-100.0,1.0
-85.0,-62.0,-89.0,-100.0,-100.0,-100.0,-79.0,-71.0,-100.0,-100.0,1.0
-86.0,-72.0,-100.0,-100.0,-72.0,-100.0,-87.0,-74.0,-100.0,-100.0,1.0
-100.0,-71.0,-100.0,-100.0,-71.0,-100.0,-80.0,-100.0,-100.0,-100.0,1.0
-86.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-74.0,-100.0,-100.0,1.0
-83.0,-64.0,-100.0,-100.0,-65.0,-100.0,-100.0,-74.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,1.0
-88.0,-65.0,-100.0,-100.0,-67.0,-100.0,-100.0,-74.0,-100.0,-100.0,1.0
-84.0,-66.0,-100.0,-100.0,-66.0,-100.0,-90.0,-72.0,-100.0,-100.0,1.0
-85.0,-69.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-84.0,-64.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-67.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-82.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-85.0,-67.0,-100.0,-100.0,-67.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-83.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-86.0,-61.0,-100.0,-86.0,-100.0,-100.0,-78.0,-74.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-64.0,-100.0,-85.0,-73.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-88.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-66.0,-100.0,-100.0,-66.0,-100.0,-100.0,-69.0,-100.0,-100.0,1.0
-84.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
-81.0,-62.0,-100.0,-73.0,-62.0,-100.0,-100.0,-74.0,-100.0,-100.0,1.0
-85.0,-63.0,-100.0,-85.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,1.0
-86.0,-65.0,-100.0,-100.0,-100.0,-100.0,-77.0,-69.0,-100.0,-100.0,1.0
-87.0,-61.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,1.0
-88.0,-61.0,-100.0,-100.0,-63.0,-100.0,-79.0,-72.0,-100.0,-100.0,1.0
-100.0,-63.0,-100.0,-90.0,-100.0,-100.0,-86.0,-73.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,1.0
-100.0,-63.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0
-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,1.0
-91.0,-61.0,-100.0,-88.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,1.0
